Date,analytics_request
2015-09-12T00:00:00.000Z,0
2015-09-13T00:00:00.000Z,0
2015-09-14T00:00:00.000Z,0
2015-09-15T00:00:00.000Z,0
2015-09-16T00:00:00.000Z,0
2015-09-17T00:00:00.000Z,0
2015-09-18T00:00:00.000Z,0
2015-09-19T00:00:00.000Z,0
2015-09-20T00:00:00.000Z,0
2015-09-21T00:00:00.000Z,0
2015-09-22T00:00:00.000Z,0
2015-09-23T00:00:00.000Z,0
2015-09-24T00:00:00.000Z,0
2015-09-25T00:00:00.000Z,0
2015-09-26T00:00:00.000Z,0
2015-09-27T00:00:00.000Z,0
2015-09-28T00:00:00.000Z,0
2015-09-29T00:00:00.000Z,0
2015-09-30T00:00:00.000Z,0
2015-10-01T00:00:00.000Z,0
2015-10-02T00:00:00.000Z,0
2015-10-03T00:00:00.000Z,0
2015-10-04T00:00:00.000Z,0
2015-10-05T00:00:00.000Z,0
2015-10-06T00:00:00.000Z,0
2015-10-07T00:00:00.000Z,0
2015-10-08T00:00:00.000Z,0
2015-10-09T00:00:00.000Z,0
2015-10-10T00:00:00.000Z,0
2015-10-11T00:00:00.000Z,0
2015-10-12T00:00:00.000Z,0
2015-10-13T00:00:00.000Z,4
